"grp","n_countries","pop_share","volume_share","wt_over_nwx","mean_transfer","source"
"bottom",18,0.332458877241968,0.258291391135041,0.513081431097145,69988.0271077997,"HFCS W5.0"
"middle",18,0.33353397836703,0.283991915214889,0.365715069021379,68777.7979930571,"HFCS W5.0"
"top",18,0.333665455172059,0.444041819542534,0.273116531943954,110811.895256294,"HFCS W5.0"
"bottom",10,0.332092421583683,0.224269939370403,0.366528765555,32693.7081078047,"LWS"
"middle",10,0.333561288637851,0.277732968332547,0.334946831175697,47074.7945937873,"LWS"
"top",10,0.333626266051997,0.48717611973251,0.242716930537869,85136.7334267196,"LWS"
