"country","gini_nwx","mu_ratio","actual","q100","q50","q20","q10","q5","q1","share_top10","share_top20","valid"
"AT_2023",0.85101448682292,0.838346740554365,0.816426141694189,0.643684898459983,0.85319262745641,0.979052745958256,1.02060093907583,1.04145298024935,1.05823439091179,0.191977647567648,0.329747350919018,TRUE
"BE_2023",0.619973948575679,0.985992992136418,0.974841989899057,0.848967172207595,0.971078645474316,1.04412508470303,1.06821951045661,1.08041309422629,1.09015129557853,0.209682885463563,0.389642736240455,TRUE
"CY_2023",0.633696200895704,0.939525216337857,0.950626150367266,0.812592457883363,0.960927177800025,1.04925329520533,1.07893528059571,1.0936444543665,1.10541890086119,0.211196380343174,0.360626737775593,TRUE
"DE_2023",0.757266026602003,0.96091005406247,0.958140674975688,0.866876171454721,0.954823766008673,1.00753257669898,1.02510601575552,1.03389158522679,1.04110606332033,0.249044097746248,0.390768087268594,TRUE
"EE_2023",0.66710270467385,0.988064631553779,0.975984705526336,0.932475150788733,0.983112843662386,1.01345943011175,1.02358614783178,1.02865481911846,1.03268691514048,0.260071073929543,0.359271182800828,TRUE
"ES_2023",0.713434891235417,0.933629495310428,0.943927267696956,0.754279363531733,0.926538658140894,1.02981733809909,1.0644471295762,1.0814780389338,1.0953160247144,0.325974392085949,0.501321075242711,TRUE
"FR_2023",0.721263409177191,0.948066162063773,0.939615453234692,0.779448321141265,0.932368049899173,1.02412576629401,1.05466231272705,1.06994680060715,1.08218800125717,0.280659663534117,0.435618440826165,TRUE
"GR_2023",0.656185992878063,0.953922582163742,0.890193266159393,0.779761400896407,0.947653681136837,1.04829034642604,1.08187419705675,1.09871868763885,1.11204700318065,0.135630931942106,0.272738667040815,TRUE
"HR_2023",0.552486573739608,0.994322681030938,0.975338817390973,0.891082154751806,0.989706013513962,1.04883944454044,1.06853484876245,1.07843242373831,1.08632512608112,0.187876126390606,0.309776440141707,TRUE
"HU_2023",0.615996762137627,0.980301348121456,0.967896932352584,0.900525089230926,0.98126849803711,1.02972756000236,1.04586736017125,1.05394188608504,1.0604188918895,0.236278575330993,0.40743297710761,TRUE
"LT_2023",0.638613036396833,0.976450504426077,0.922726128489991,0.892082403231586,0.976576185867341,1.0274499117087,1.04437248034729,1.05263899770976,1.05938233863281,0.179003096634028,0.272727633101897,TRUE
"LU_2023",0.647133094152597,0.975076645260949,0.974615560943296,0.860328728099637,0.968412333712281,1.03302119208938,1.05461058129436,1.06538304832257,1.0741230410414,0.267004201623923,0.45295116003164,TRUE
"LV_2023",0.699828161842693,0.990576733388157,0.988585057272052,0.950797122794817,0.985990822771988,1.00706050674614,1.01407601329285,1.01763069054126,1.02094163447278,0.309611212920786,0.507779611233255,TRUE
"MT_2023",0.541240580813576,0.982476730527715,0.954994844268714,0.868040773788511,0.98997591397055,1.06329705192038,1.0875313469091,1.09967722393882,1.11006512912019,0.180109863463186,0.309339617042334,TRUE
"NL_2023",0.658815843288837,0.969592589006851,0.979523770854989,0.934961790427599,0.984419461418772,1.01395994734167,1.0238230577991,1.02878096068595,1.03270448875143,0.272468546638223,0.438806963634762,TRUE
"PT_2023",0.719239049068651,0.918730562156232,0.898058150293589,0.839344189869286,0.951131012188552,1.01807024296775,1.04037886360334,1.05159009513641,1.06049703380075,0.210672660348903,0.303320169499875,TRUE
"SI_2023",0.633046990367239,0.945042204570426,0.872707213456351,0.790602247766728,0.956148890756967,1.05558055188142,1.08850028550488,1.10488662523022,1.11816877943244,0.156063309988577,0.242132268862423,TRUE
"SK_2023",0.527619103805845,0.977099086028175,0.910207213075462,0.857171731952067,0.992765711387327,1.07382545893749,1.10085534958863,1.11435705658773,1.12521334662146,0.160116990719631,0.232653440654515,TRUE
