"country","cv_ratio_baseline_3pct","cv_ratio_zero_cap","cv_ratio_capped_3pct","cv_ratio_gradient","cor_nwx_wt_baseline_3pct","cor_nwx_wt_zero_cap","cor_nwx_wt_capped_3pct","cor_nwx_wt_gradient","p2_baseline_3pct","p2_zero_cap","p2_capped_3pct","p2_gradient","paradox_baseline","paradox_zero","paradox_capped","paradox_gradient"
"AT_2023",-0.0384435083161929,0.4773512753074,0.856150903417699,0.732703583901368,-0.956336745233422,-0.507737005597201,0.106843735593674,-0.260690129450576,1.17113424371702,0.48301639414645,0.377177730866396,0.347865651503325,TRUE,TRUE,TRUE,TRUE
"BE_2023",0.732614392578498,0.874683032203538,0.861206844362235,0.902480649379938,-0.34853833903898,-0.0636309006369911,0.0150328542211318,0.0668025969348892,0.234494351199215,0.14742056858161,0.175334068378147,0.149105203091392,TRUE,TRUE,TRUE,TRUE
"CY_2023",0.721571491124364,0.898527016408346,0.870332746586336,0.947085841051378,-0.222438144267453,0.075768839190926,0.0832764274949149,-0.0669304694835214,0.292550142465735,0.14441247662899,0.209123016746487,0.189083877283292,TRUE,TRUE,TRUE,TRUE
"DE_2023",0.520690463971077,0.894303872655346,0.899860249712222,0.917637115139351,-0.686963835198767,-0.0486306573373184,0.021334823633612,0.046665993446546,0.313820891443453,0.153983606852201,0.171625388383495,0.134809764485762,TRUE,TRUE,TRUE,TRUE
"EE_2023",0.907627998935566,0.939195772109183,0.949622387587411,0.998113453833318,-0.0651523061530871,0.0133694011130508,0.162602832731665,0.345945801548218,0.097963298800339,0.0673409052782469,0.0691096529376499,0.0665483421103429,TRUE,TRUE,TRUE,TRUE
"ES_2023",0.502724778422653,0.786615159305954,0.771324371834371,0.7784697124939,-0.480077260321041,-0.0847259836136663,0.066803769752366,-0.0865791382351929,0.444448493572235,0.242135870753525,0.275205239028265,0.254672604067883,TRUE,TRUE,TRUE,TRUE
"FR_2023",0.288366507462414,0.790156344311745,0.82754236890855,0.820255377734297,-0.855818973440207,-0.216241217687864,0.101387924429373,-0.132710261869063,0.446411687127807,0.20559055192829,0.228935912620115,0.220551678858735,TRUE,TRUE,TRUE,TRUE
"GR_2023",0.382860548469739,0.705276784639446,0.796566020667442,0.861541682231352,-0.681310473487131,-0.289633613607453,-0.0553512761878987,-0.106396341742326,0.507540786433092,0.268858910906434,0.252887353093008,0.182664954075178,TRUE,TRUE,TRUE,TRUE
"HR_2023",0.802811525420788,0.89882379984706,0.877233637392726,0.958135810538554,-0.183636159311636,-0.0294964962534844,-0.0339470291608314,0.0737758462591449,0.203273384173379,0.128101821161175,0.159692100722432,0.10984477280457,TRUE,TRUE,TRUE,TRUE
"HU_2023",0.827331547388035,0.909097426876951,0.915441912723487,0.941204391203945,-0.2360791491295,-0.0328472693410739,0.0498216124590409,0.0854082793813059,0.155511776853529,0.103389911990498,0.110540311413033,0.0994760719114653,TRUE,TRUE,TRUE,TRUE
"LT_2023",0.792624024418339,0.869091529317708,0.873074521289087,0.908028399543483,-0.101311256722541,-0.0195251332322372,-0.0151770617289954,0.0708020724857886,0.215730837625467,0.145688365750948,0.144306788704937,0.109981434609365,TRUE,TRUE,TRUE,TRUE
"LU_2023",0.569756382015981,0.843399671804838,0.873784738169407,0.924987051872024,-0.536587193343836,-0.0817245662807283,0.0497206595617568,0.10697627037523,0.33263022026386,0.175504642979337,0.172970482229324,0.135116584615163,TRUE,TRUE,TRUE,TRUE
"LV_2023",0.922939730441301,0.954203693062215,0.954627271486696,0.965336399089455,-0.0688515112921876,0.0109382186531025,0.0394591338199053,0.0952179543290391,0.078885558140915,0.051250854935382,0.0548684005921899,0.0486920632242604,TRUE,TRUE,TRUE,TRUE
"MT_2023",0.724977426760687,0.868471905538299,0.884552750507138,0.941032064029898,-0.364405699287939,-0.110139576225274,-0.00980164277010752,0.124217536338058,0.236055158756226,0.153390762717863,0.16775332493119,0.131959226211489,TRUE,TRUE,TRUE,TRUE
"NL_2023",0.895469435382727,0.971456035497306,0.990202035188786,0.967523513260931,-0.214074591909373,0.0565631555086768,0.132267920243817,-0.179362724784504,0.087659787789123,0.0552573856519029,0.0596959446619403,0.0640628398454711,TRUE,TRUE,TRUE,TRUE
"PT_2023",0.744530752378067,0.894469970313809,0.92316165598688,0.830117948868893,-0.321054252312631,-0.0234066901782619,0.141340529181182,-0.38496702668614,0.230708626094801,0.133078851171687,0.143726061793363,0.156443643980888,TRUE,TRUE,TRUE,TRUE
"SI_2023",0.219298332881422,0.640181630210534,0.75698029616772,0.864146076970967,-0.639088826305642,-0.258084646437723,-0.0082369614543012,-0.039094718868958,0.720297061830597,0.351955589863715,0.285859985622288,0.196665534401269,TRUE,TRUE,TRUE,TRUE
"SK_2023",0.65504454027606,0.813081785885499,0.815813194641214,0.899260543637412,-0.405447225555453,-0.18071154891522,-0.0931383789959771,0.013851136922191,0.291817996161729,0.183163829281256,0.203303611253131,0.142973878546641,TRUE,TRUE,TRUE,TRUE
