"country","share_nw_nonpos","share_nw_neg","share_nwx_nonpos","share_nwx_neg"
"AT_2023",0.0448250216565596,0.0389322114089332,0.226591429266144,0.220846641561698
"BE_2023",0.0193473476674899,0.0188992061967552,0.0951087640129528,0.094660622542218
"CY_2023",0.0416794767157284,0.0353201825374878,0.155997741575666,0.149638447397426
"DE_2023",0.0636741547351234,0.056613867328513,0.133466009620035,0.126405722213425
"EE_2023",0.030747624345233,0.0259522968374419,0.065813200996804,0.0610178734890129
"ES_2023",0.0577475536667526,0.0529351364178645,0.159067382270929,0.154507834329522
"FR_2023",0.0177672277896043,0.0175931623792066,0.121218544370302,0.121044478959904
"GR_2023",0.00861438573357171,0.00597156340811479,0.166311644499368,0.163668822173911
"HR_2023",0.014089041217817,0.00877247205525647,0.119209043925855,0.113892474763294
"HU_2023",0.0429385668844545,0.0339466598249892,0.113239343298602,0.104378457683312
"LT_2023",0.00701560779683892,0.00408981206662941,0.11432803652099,0.111402240790781
"LU_2023",0.0365629394146041,0.0320814546074366,0.108413361543929,0.103931876736762
"LV_2023",0.0416557889562984,0.0236305849881114,0.0742414322446311,0.0562162282764442
"MT_2023",0.000482337329892181,0.000482337329892181,0.09132835465432,0.09132835465432
"NL_2023",0.0526135412986538,0.0508947256731726,0.0776219013280447,0.0759030857025636
"PT_2023",0.0394315095009828,0.0313196353693811,0.118211733580567,0.111087967278283
"SI_2023",0.0236297875709486,0.0172709528149317,0.243658418400433,0.236871509829667
"SK_2023",0.0154410862285347,0.00851433514619236,0.149685089864933,0.143159812093555
