"quantile","country","stat_name","estimate","se","ci_lo","ci_hi"
"iso10","AT_2023","iso_nw",1.44951095268119,0.0337484351982593,1.3833640196926,1.51565788566978
"iso10","AT_2023","iso_nwx",1.27071074322035,0.0452191346159955,1.182081239373,1.3593402470677
"iso10","AT_2023","iso_diff",0.178800209460844,0.0383399800927199,0.103653848479113,0.253946570442575
"iso10","BE_2023","iso_nw",1.6760159302889,0.0801921912536357,1.51883923543177,1.83319262514602
"iso10","BE_2023","iso_nwx",1.64508430759251,0.081880050939105,1.48459940775186,1.80556920743315
"iso10","BE_2023","iso_diff",0.0309316226963896,0.0443065979058568,-0.0559093091990896,0.117772554591869
"iso10","CY_2023","iso_nw",1.70027577206045,0.118978931375653,1.46707706656417,1.93347447755673
"iso10","CY_2023","iso_nwx",1.72915377917977,0.110578531876887,1.51241985670107,1.94588770165846
"iso10","CY_2023","iso_diff",-0.0288780071193112,0.076693961088599,-0.179198170852965,0.121442156614343
"iso10","DE_2023","iso_nw",1.64338966566896,0.0718854910180851,1.50249410327352,1.78428522806441
"iso10","DE_2023","iso_nwx",1.59520400629203,0.0739054630319765,1.45034929874936,1.7400587138347
"iso10","DE_2023","iso_diff",0.048185659376934,0.0526880145184863,-0.0550828490792991,0.151454167833167
"iso10","EE_2023","iso_nw",1.11032203385699,0.0537443021735694,1.00498320159679,1.21566086611718
"iso10","EE_2023","iso_nwx",1.11025113891828,0.0538754433457526,1.0046552699606,1.21584700787595
"iso10","EE_2023","iso_diff",7.08949387115965e-05,0.0251733066547819,-0.0492687861046608,0.049410575982084
"iso10","ES_2023","iso_nw",1.31642870542404,0.0630437182491132,1.19286301765578,1.4399943931923
"iso10","ES_2023","iso_nwx",1.33502237387836,0.0542400484805443,1.22871187885649,1.44133286890022
"iso10","ES_2023","iso_diff",-0.0185936684543163,0.0414143990757099,-0.0997658906427077,0.0625785537340751
"iso10","FR_2023","iso_nw",1.49058253454365,0.0268146209411977,1.43802587749891,1.5431391915884
"iso10","FR_2023","iso_nwx",1.43235428735498,0.0228438381311355,1.38758036461796,1.47712821009201
"iso10","FR_2023","iso_diff",0.0582282471886699,0.019743082675965,0.0195318051437786,0.0969246892335612
"iso10","GR_2023","iso_nw",1.38664822017736,0.0350615370666069,1.31792760752681,1.45536883282791
"iso10","GR_2023","iso_nwx",1.41611500693591,0.0523027185295409,1.313601678618,1.51862833525381
"iso10","GR_2023","iso_diff",-0.0294667867585413,0.0412653334016347,-0.110346840225745,0.0514132667086627
"iso10","HR_2023","iso_nw",0.85832443618238,0.0603889306714563,0.739962132066325,0.976686740298434
"iso10","HR_2023","iso_nwx",0.966204926325656,0.0588440713066851,0.850870546564554,1.08153930608676
"iso10","HR_2023","iso_diff",-0.107880490143277,0.0528651750758225,-0.211496233291889,-0.00426474699466479
"iso10","HU_2023","iso_nw",0.856530425120056,0.034927472737399,0.788072578554754,0.924988271685358
"iso10","HU_2023","iso_nwx",0.934471759075984,0.0367019811056481,0.862535876108914,1.00640764204305
"iso10","HU_2023","iso_diff",-0.0779413339559281,0.0246231079266353,-0.126202625492133,-0.029680042419723
"iso10","LT_2023","iso_nw",0.693401971820543,0.0571877580671529,0.581313966008924,0.805489977632163
"iso10","LT_2023","iso_nwx",0.814916006601632,0.0446561669922323,0.727389919296857,0.902442093906407
"iso10","LT_2023","iso_diff",-0.121514034781089,0.0480605596590574,-0.215712731712841,-0.027315337849336
"iso10","LU_2023","iso_nw",1.4325701237765,0.0985143487719859,1.23948200018341,1.62565824736959
"iso10","LU_2023","iso_nwx",1.41653696499991,0.0997686817319955,1.2209903488052,1.61208358119462
