"country","stat_name","estimate","se","ci_lo","ci_hi","grouping","scenario"
"AT_2023","cv2_total_nw",5.80528812532565,3.30079138336359,-0.664262986066986,12.2748392367183,"inc_noncap","baseline_3pct"
"AT_2023","cv2_within_nw",5.46499867058139,3.25723161978508,-0.919175304197374,11.8491726453602,"inc_noncap","baseline_3pct"
"AT_2023","cv2_between_nw",0.34028945474426,0.0616878309299207,0.219381306121615,0.461197603366904,"inc_noncap","baseline_3pct"
"AT_2023","cv2_total_nwx",59803.4324287845,77442383.3666594,-151727267.966224,151846874.831081,"inc_noncap","baseline_3pct"
"AT_2023","cv2_within_nwx",59764.9782507855,77381128.2096837,-151607246.312729,151726776.269231,"inc_noncap","baseline_3pct"
"AT_2023","cv2_between_nwx",38.454177999057,151491.570364152,-296885.02373574,296961.932091738,"inc_noncap","baseline_3pct"
"AT_2023","d_cv2_within",-59759.5132521149,77381128.1843147,-151726770.754509,151607251.728005,"inc_noncap","baseline_3pct"
"AT_2023","d_cv2_between",-38.1138885443127,151491.569960418,-296961.591010964,296885.363233875,"inc_noncap","baseline_3pct"
"AT_2023","cv2_share_between_nw",0.0632366871772763,0.0217124277635354,0.0206803287607469,0.105793045593806,"inc_noncap","baseline_3pct"
"AT_2023","cv2_share_between_nwx",0.000573363926880314,0.00431184355349123,-0.0078778494379625,0.00902457729172313,"inc_noncap","baseline_3pct"
"AT_2023","d_cv2_share_between",0.062663323250396,0.0217263580959082,0.0200796613824159,0.105246985118376,"inc_noncap","baseline_3pct"
"AT_2023","var_total_nw",673462635895.535,456282406201.595,-220850880259.591,1567776152050.66,"inc_noncap","baseline_3pct"
"AT_2023","var_within_nw",634407762798.412,447561588099.906,-242812949877.403,1511628475474.23,"inc_noncap","baseline_3pct"
"AT_2023","var_between_nw",39054873097.1231,10814289487.0182,17858865702.5675,60250880491.6786,"inc_noncap","baseline_3pct"
"AT_2023","var_total_nwx",9234123555548.43,10041985987571,-10448168980090.6,28916416091187.5,"inc_noncap","baseline_3pct"
