country,iso2,year,metric,flow_type,value,source_notes
USA,US,1930,Inheritance&GiftTaxRevenue,NA,65000000," | 1900: precursor of modern estate tax as part of the War Revenue Act of 1898. Figure from Johnson and Eller (1998): ""FEDERAL TAXATION OF INHERITANCE AND WEALTH TRANSFERS"". IRS. https://www.irs.gov/pub/irs-soi/inhwlttr.pdf"
USA,US,1940,Inheritance&GiftTaxRevenue,NA,353000000," | 1900: precursor of modern estate tax as part of the War Revenue Act of 1898. Figure from Johnson and Eller (1998): ""FEDERAL TAXATION OF INHERITANCE AND WEALTH TRANSFERS"". IRS. https://www.irs.gov/pub/irs-soi/inhwlttr.pdf"
USA,US,1950,Inheritance&GiftTaxRevenue,NA,698000000," | 1900: precursor of modern estate tax as part of the War Revenue Act of 1898. Figure from Johnson and Eller (1998): ""FEDERAL TAXATION OF INHERITANCE AND WEALTH TRANSFERS"". IRS. https://www.irs.gov/pub/irs-soi/inhwlttr.pdf"
USA,US,1960,Inheritance&GiftTaxRevenue,NA,1606000000," | 1900: precursor of modern estate tax as part of the War Revenue Act of 1898. Figure from Johnson and Eller (1998): ""FEDERAL TAXATION OF INHERITANCE AND WEALTH TRANSFERS"". IRS. https://www.irs.gov/pub/irs-soi/inhwlttr.pdf"
USA,US,1970,Inheritance&GiftTaxRevenue,NA,3644000000," | 1900: precursor of modern estate tax as part of the War Revenue Act of 1898. Figure from Johnson and Eller (1998): ""FEDERAL TAXATION OF INHERITANCE AND WEALTH TRANSFERS"". IRS. https://www.irs.gov/pub/irs-soi/inhwlttr.pdf"
USA,US,1980,Inheritance&GiftTaxRevenue,NA,6389000000," | 1900: precursor of modern estate tax as part of the War Revenue Act of 1898. Figure from Johnson and Eller (1998): ""FEDERAL TAXATION OF INHERITANCE AND WEALTH TRANSFERS"". IRS. https://www.irs.gov/pub/irs-soi/inhwlttr.pdf"
USA,US,1990,Inheritance&GiftTaxRevenue,NA,11500000000," | 1900: precursor of modern estate tax as part of the War Revenue Act of 1898. Figure from Johnson and Eller (1998): ""FEDERAL TAXATION OF INHERITANCE AND WEALTH TRANSFERS"". IRS. https://www.irs.gov/pub/irs-soi/inhwlttr.pdf"
USA,US,2000,Inheritance&GiftTaxRevenue,NA,35640000000," | 1900: precursor of modern estate tax as part of the War Revenue Act of 1898. Figure from Johnson and Eller (1998): ""FEDERAL TAXATION OF INHERITANCE AND WEALTH TRANSFERS"". IRS. https://www.irs.gov/pub/irs-soi/inhwlttr.pdf"
USA,US,2010,Inheritance&GiftTaxRevenue,NA,19699000000," | 1900: precursor of modern estate tax as part of the War Revenue Act of 1898. Figure from Johnson and Eller (1998): ""FEDERAL TAXATION OF INHERITANCE AND WEALTH TRANSFERS"". IRS. https://www.irs.gov/pub/irs-soi/inhwlttr.pdf"
USA,US,2020,Inheritance&GiftTaxRevenue,NA,25277000000," | 1900: precursor of modern estate tax as part of the War Revenue Act of 1898. Figure from Johnson and Eller (1998): ""FEDERAL TAXATION OF INHERITANCE AND WEALTH TRANSFERS"". IRS. https://www.irs.gov/pub/irs-soi/inhwlttr.pdf"
USA,US,1900,InheritanceVolume,economic,1893745734," | until2010:combiningALVAREDO,GARBINTIandPIKETTY(2017)bytdatamultiplyingwithYtdatafromPikettyandSaez2014"
USA,US,1910,InheritanceVolume,economic,2952231023," | until2010:combiningALVAREDO,GARBINTIandPIKETTY(2017)bytdatamultiplyingwithYtdatafromPikettyandSaez2014"
USA,US,1920,InheritanceVolume,economic,6695231940," | until2010:combiningALVAREDO,GARBINTIandPIKETTY(2017)bytdatamultiplyingwithYtdatafromPikettyandSaez2014"
USA,US,1930,InheritanceVolume,economic,9417824172," | until2010:combiningALVAREDO,GARBINTIandPIKETTY(2017)bytdatamultiplyingwithYtdatafromPikettyandSaez2014"
USA,US,1930,InheritanceVolume,fiscal,2360719000," | 1930-1990 inheritance:1968 for 1970, 1982 for 1980):  IRS:https://www,irs,gov/statistics/soi-tax-stats-historical-table-17"
USA,US,1940,InheritanceVolume,economic,8828707150," | until2010:combiningALVAREDO,GARBINTIandPIKETTY(2017)bytdatamultiplyingwithYtdatafromPikettyandSaez2014"
USA,US,1940,InheritanceVolume,fiscal,3148356000," | 1930-1990 inheritance:1968 for 1970, 1982 for 1980):  IRS:https://www,irs,gov/statistics/soi-tax-stats-historical-table-17"
USA,US,1950,InheritanceVolume,economic,22061631991," | until2010:combiningALVAREDO,GARBINTIandPIKETTY(2017)bytdatamultiplyingwithYtdatafromPikettyandSaez2014"
USA,US,1950,InheritanceVolume,fiscal,5720092000," | 1930-1990 inheritance:1968 for 1970, 1982 for 1980):  IRS:https://www,irs,gov/statistics/soi-tax-stats-historical-table-17"
USA,US,1960,InheritanceVolume,economic,44654682625," | until2010:combiningALVAREDO,GARBINTIandPIKETTY(2017)bytdatamultiplyingwithYtdatafromPikettyandSaez2014"
USA,US,1960,InheritanceVolume,fiscal,15049522000," | 1930-1990 inheritance:1968 for 1970, 1982 for 1980):  IRS:https://www,irs,gov/statistics/soi-tax-stats-historical-table-17"
USA,US,1970,InheritanceVolume,economic,81222880869," | until2010:combiningALVAREDO,GARBINTIandPIKETTY(2017)bytdatamultiplyingwithYtdatafromPikettyandSaez2014"
USA,US,1970,InheritanceVolume,fiscal,27421473000," | 1930-1990 inheritance:1968 for 1970, 1982 for 1980):  IRS:https://www,irs,gov/statistics/soi-tax-stats-historical-table-17"
USA,US,1980,InheritanceVolume,economic,188492996910," | until2010:combiningALVAREDO,GARBINTIandPIKETTY(2017)bytdatamultiplyingwithYtdatafromPikettyandSaez2014"
USA,US,1980,InheritanceVolume,fiscal,38492524662," | 1930-1990 inheritance:1968 for 1970, 1982 for 1980):  IRS:https://www,irs,gov/statistics/soi-tax-stats-historical-table-17"
USA,US,1990,InheritanceVolume,economic,390581324000," | until2010:combiningALVAREDO,GARBINTIandPIKETTY(2017)bytdatamultiplyingwithYtdatafromPikettyandSaez2014"
USA,US,1990,InheritanceVolume,fiscal,66942801413," | 1930-1990 inheritance:1968 for 1970, 1982 for 1980):  IRS:https://www,irs,gov/statistics/soi-tax-stats-historical-table-17"
USA,US,2000,InheritanceVolume,economic,777281538610," | until2010:combiningALVAREDO,GARBINTIandPIKETTY(2017)bytdatamultiplyingwithYtdatafromPikettyandSaez2014"
USA,US,2000,InheritanceVolume,fiscal,162607006415," | 1930-1990 inheritance:1968 for 1970, 1982 for 1980):  IRS:https://www,irs,gov/statistics/soi-tax-stats-historical-table-17"
USA,US,2010,InheritanceVolume,economic,1057548132188," | until2010:combiningALVAREDO,GARBINTIandPIKETTY(2017)bytdatamultiplyingwithYtdatafromPikettyandSaez2014"
USA,US,2010,InheritanceVolume,fiscal,113323255381," | 1930-1990 inheritance:1968 for 1970, 1982 for 1980):  IRS:https://www,irs,gov/statistics/soi-tax-stats-historical-table-17"
USA,US,2020,InheritanceVolume,economic,1600000000000," | until2010:combiningALVAREDO,GARBINTIandPIKETTY(2017)bytdatamultiplyingwithYtdatafromPikettyandSaez2014"
USA,US,2020,InheritanceVolume,fiscal,153128686909," | 1930-1990 inheritance:1968 for 1970, 1982 for 1980):  IRS:https://www,irs,gov/statistics/soi-tax-stats-historical-table-17"
USA,US,2020,PublicSectorCurrentReceipts,NA,5380200000000, | OECD Revenue Statistics 2022
