"country","scenario","p2","cv1_emp","cv2_emp","cor_nwx_wt","rho_mech_emp","robustness_margin","non_binding","predicted_paradox","observed_paradox"
"AT_2023","baseline_3pct",1.17113424371702,244.547403234597,7.61034963098987,-0.956336745233422,-77.7107396974399,-76.7544029522064,TRUE,FALSE,TRUE
"AT_2023","zero_cap",0.48301639414645,5.04452128472369,4.48167640653037,-0.507737005597201,1.23637863389469,1.74411563949189,TRUE,TRUE,TRUE
"AT_2023","capped_3pct",0.377177730866396,2.9634060973506,3.62015795445483,0.106843735593674,0.696546605286242,0.589702869692568,FALSE,TRUE,TRUE
"AT_2023","gradient",0.347865651503325,3.43712469390956,5.28722022634119,-0.260690129450576,0.413190506555199,0.673880636005775,FALSE,TRUE,TRUE
"BE_2023","baseline_3pct",0.234494351199215,2.44838985051314,4.3313533330982,-0.34853833903898,0.380895090988482,0.729433430027462,FALSE,TRUE,TRUE
"BE_2023","zero_cap",0.14742056858161,2.0507120632633,3.57551642106696,-0.0636309006369911,0.472389320805045,0.536020221442036,FALSE,TRUE,TRUE
"BE_2023","capped_3pct",0.175334068378147,2.08280318926541,2.80480755371184,0.0150328542211318,0.678367257642895,0.663334403421764,FALSE,TRUE,TRUE
"BE_2023","gradient",0.149105203091392,1.98755434421403,3.32275799797164,0.0668025969348892,0.504097148141536,0.437294551206647,FALSE,TRUE,TRUE
"CY_2023","baseline_3pct",0.292550142465735,2.09630054964291,2.63890528711793,-0.222438144267453,0.698349806027973,0.920787950295426,FALSE,TRUE,TRUE
"CY_2023","zero_cap",0.14441247662899,1.68454865797928,2.51722681765154,0.075768839190926,0.599575248540874,0.523806409349948,FALSE,TRUE,TRUE
"CY_2023","capped_3pct",0.209123016746487,1.73991178718171,2.50889429703147,0.0832764274949149,0.594542687997589,0.511266260502675,FALSE,TRUE,TRUE
"CY_2023","gradient",0.189083877283292,1.60060594870481,4.594433116059,-0.0669304694835214,0.0543417443607834,0.121272213844305,FALSE,TRUE,TRUE
"DE_2023","baseline_3pct",0.313820891443453,3.99726337782643,7.91252188871384,-0.686963835198767,0.168049135500621,0.855012970699388,FALSE,TRUE,TRUE
"DE_2023","zero_cap",0.153983606852201,2.32466330128396,5.03828071590358,-0.0486306573373184,0.306153046018413,0.354783703355731,FALSE,TRUE,TRUE
"DE_2023","capped_3pct",0.171625388383495,2.31050579819491,4.49576422032006,0.021334823633612,0.365600460644984,0.344265637011372,FALSE,TRUE,TRUE
"DE_2023","gradient",0.134809764485762,2.26556944760841,4.50438638932457,0.046665993446546,0.387259538143254,0.340593544696708,FALSE,TRUE,TRUE
"EE_2023","baseline_3pct",0.097963298800339,3.44250631896643,6.15527561193162,-0.0651523061530871,0.492555113506353,0.55770741965944,FALSE,TRUE,TRUE
"EE_2023","zero_cap",0.0673409052782469,3.32681456912795,4.87879622151929,0.0133694011130508,0.653566699264995,0.640197298151944,FALSE,TRUE,TRUE
"EE_2023","capped_3pct",0.0691096529376499,3.29031328310444,4.26865876298453,0.162602832731665,0.751262251337759,0.588659418606094,FALSE,TRUE,TRUE
"EE_2023","gradient",0.0665483421103429,3.13059538678012,7.32336371984232,0.345945801548218,0.359331520639374,0.0133857190911558,FALSE,TRUE,TRUE
