"country","scenario","p2","cv1_emp","cv2_emp","cor_nwx_wt","rho_mech_emp","robustness_margin","non_binding","predicted_paradox","observed_paradox"
"AT_2011","baseline_3pct",0.623738042904131,9.36860415206651,3.93491099341366,-0.528075285068433,4.00619394158347,4.53426922665191,TRUE,TRUE,TRUE
"AT_2011","capped_3pct",0.308978864117131,3.97489444252929,3.1717886886667,0.0814711152094865,1.35498101565243,1.27350990044294,TRUE,TRUE,TRUE
"AT_2011","gradient",0.274100150141673,3.82184013775419,5.09835092500299,-0.0581858174796341,0.639291447409392,0.697477264889026,FALSE,TRUE,TRUE
"AT_2011","zero_cap",0.311216598472088,4.29525757141047,3.62772982357067,-0.143623698596825,1.2606873925111,1.40431109110793,TRUE,TRUE,TRUE
"EE_2013","baseline_3pct",0.195091077485077,5.15509256820752,10.8467880016895,-0.447084034216738,0.277869625905374,0.724953660122112,FALSE,TRUE,TRUE
"EE_2013","capped_3pct",0.0998481202089354,4.09099725254108,4.93862593317864,0.0105777506117133,0.807357119926645,0.796779369314932,FALSE,TRUE,TRUE
"EE_2013","gradient",0.102679300929252,4.13477186973979,7.44041074729477,-0.0895102378871484,0.484557559155118,0.574067797042266,FALSE,TRUE,TRUE
"EE_2013","zero_cap",0.129213564928117,4.40605472393448,9.64173252262851,-0.2541148954727,0.328525059369648,0.582639954842348,FALSE,TRUE,TRUE
"ES_2011","baseline_3pct",0.36957022509043,6.0605462233781,7.93707010974627,-0.636086603181004,0.603520763742763,1.23960736692377,FALSE,TRUE,TRUE
"ES_2011","capped_3pct",0.192135217340132,3.10144590044628,4.4580719517218,0.17517396535006,0.607489627546253,0.432315662196193,FALSE,TRUE,TRUE
"ES_2011","gradient",0.24024173825369,4.14770047769761,9.51656197450458,-0.366304159949775,0.141991393301197,0.508295553250972,FALSE,TRUE,TRUE
"ES_2011","zero_cap",0.243615125753439,4.52416389959108,8.51370922725681,-0.432923500837845,0.313924970603945,0.74684847144179,FALSE,TRUE,TRUE
"FR_2009","baseline_3pct",0.128374126246184,5.15836797147942,21.3797749833402,-0.551957715875446,-0.0461758678381653,0.505781848037281,FALSE,TRUE,TRUE
