"country","stat_name","estimate","se","ci_lo","ci_hi"
"AT_2011","gradient_p90_p10_ok",1,0,1,1
"AT_2011","gradient_p90_p10_keptmin",1,0,1,1
"AT_2011","gradient_p90_p10_naltmax",0,0,0,0
"AT_2011","gradient_inter1_nw",0.264279296170392,0.212345326126679,-0.1519175430379,0.680476135378683
"AT_2011","gradient_inter1_nwx",0.00763110457968356,0.00438525796698824,-0.000964001035613385,0.0162262101949805
"AT_2011","gradient_inter1_ratio",100.190925183115,197.116529072979,-286.157471799923,486.539322166154
"AT_2011","gradient_inter1_ok",1,0,1,1
"AT_2011","gradient_inter1_keptmin",1,0,1,1
"AT_2011","gradient_inter1_naltmax",0,0,0,0
"AT_2011","gradient_inter2_nw",0.749643620047575,0.694984575108483,-0.612526147165051,2.1118133872602
"AT_2011","gradient_inter2_nwx",0.0104924918730767,0.00665542430118988,-0.0025521397572555,0.0235371235034088
"AT_2011","gradient_inter2_ratio",278.959693784007,593.124215989592,-883.563769555593,1441.48315712361
"AT_2011","gradient_inter2_ok",1,0,1,1
"AT_2011","gradient_inter2_keptmin",1,0,1,1
"AT_2011","gradient_inter2_naltmax",0,0,0,0
"AT_2011","gradient_ge2_nw",4.15361128787706,1.87858031446826,0.471593871519264,7.83562870423486
"AT_2011","gradient_ge2_nwx",5.25072813525202,1.99108320737421,1.34820504879856,9.15325122170548
"AT_2011","gradient_ge2_ratio",0.779798177820223,0.0493495843075884,0.683072992577349,0.876523363063096
"AT_2011","gradient_ge2_ok",1,0,1,1
"AT_2011","gradient_ge2_keptmin",0.90486331397018,0.00901761531337356,0.887188787955968,0.922537839984392
"AT_2011","gradient_ge2_naltmax",0.0951366860298203,0.00901761531337358,0.0774621600156081,0.112811212044033
"AT_2011","gradient_ge_theil_nw",1.22740849625675,0.240393666323531,0.75623691026263,1.69858008225087
"AT_2011","gradient_ge_theil_nwx",1.30043088540866,0.266001236966973,0.779068460953389,1.82179330986392
"AT_2011","gradient_ge_theil_ratio",0.944926230865515,0.0134657293056244,0.918533401426491,0.971319060304539
"AT_2011","gradient_ge_theil_ok",1,0,1,1
"AT_2011","gradient_ge_theil_keptmin",0.90486331397018,0.00901761531337356,0.887188787955968,0.922537839984392
