"country","stat_name","estimate","se","ci_lo","ci_hi","grouping"
"AT_2011","cv2_total_nw",9.04873586214553,4.12829804156146,0.957271700685068,17.140200023606,"inc_noncap"
"AT_2011","cv2_within_nw",8.78429459410638,4.09116515519026,0.765610889933459,16.8029782982793,"inc_noncap"
"AT_2011","cv2_between_nw",0.26444126803915,0.0675193558623949,0.132103330548856,0.396779205529444,"inc_noncap"
"AT_2011","cv2_total_nwx",87.4374179392328,31.7307599075844,25.2451285203673,149.629707358098,"inc_noncap"
"AT_2011","cv2_within_nwx",86.513200231264,31.6907974374757,24.3992372538117,148.627163208716,"inc_noncap"
"AT_2011","cv2_between_nwx",0.9242177079688,0.364817863251099,0.209174695996646,1.63926071994095,"inc_noncap"
"AT_2011","d_cv2_within",-77.7289056371576,30.5281794463224,-137.564137351949,-17.8936739223657,"inc_noncap"
"AT_2011","d_cv2_between",-0.65977643992965,0.36958805682281,-1.38416903130236,0.0646161514430585,"inc_noncap"
"AT_2011","cv2_share_between_nw",0.0316297094001753,0.0116730140546038,0.00875060185315172,0.0545088169471988,"inc_noncap"
"AT_2011","cv2_share_between_nwx",0.0114834871880062,0.00549731931486945,0.000708741330862116,0.0222582330451504,"inc_noncap"
"AT_2011","d_cv2_share_between",0.020146222212169,0.00808510951456412,0.00429940756362335,0.0359930368607147,"inc_noncap"
"AT_2011","var_total_nw",712814007773.925,617989952810.588,-498446299734.827,1924074315282.68,"inc_noncap"
"AT_2011","var_within_nw",693283489330.111,607589192718.462,-497591328398.074,1884158307058.3,"inc_noncap"
"AT_2011","var_between_nw",19530518443.8144,10980242188.4974,-1990756245.64046,41051793133.2693,"inc_noncap"
"AT_2011","var_total_nwx",929410586074.143,740473349635.222,-521917179210.892,2380738351359.18,"inc_noncap"
"AT_2011","var_within_nwx",920619506464.478,738963370199.335,-527748699126.219,2368987712055.18,"inc_noncap"
"AT_2011","var_between_nwx",8791079609.66439,3312228101.40017,2299112530.92006,15283046688.4087,"inc_noncap"
"AT_2011","var_share_between_nw",0.0316297094001753,0.0116730140546038,0.00875060185315173,0.0545088169471988,"inc_noncap"
"AT_2011","var_share_between_nwx",0.0114834871880062,0.00549731931486945,0.000708741330862114,0.0222582330451504,"inc_noncap"
"AT_2011","d_var_share_between",0.020146222212169,0.00808510951456412,0.00429940756362335,0.0359930368607147,"inc_noncap"
"AT_2011","gini_total_nw",0.762501926258024,0.0387327702334377,0.686585696600487,0.838418155915562,"inc_noncap"
"AT_2011","gini_within_nw",0.687342146628557,0.0331649946380403,0.622338757137998,0.752345536119116,"inc_noncap"
