"country","stat_name","estimate","se","ci_lo","ci_hi"
"AT_2011","baseline_3pct_p75_p25_ratio",1.56540316320777,0.0910904530913661,1.38686587514869,1.74394045126685
"AT_2011","baseline_3pct_p75_p25_ok",1,0,1,1
"AT_2011","baseline_3pct_p75_p25_keptmin",1,0,1,1
"AT_2011","baseline_3pct_p75_p25_naltmax",0,0,0,0
"AT_2011","baseline_3pct_p90_p10_nw",539928,14302.014501461,511896.051577137,567959.948422863
"AT_2011","baseline_3pct_p90_p10_nwx",455135.401394177,14919.4936370529,425893.193865553,484377.608922801
"AT_2011","baseline_3pct_p90_p10_ratio",1.18651808773256,0.0154962815431665,1.15614537590796,1.21689079955717
"AT_2011","baseline_3pct_p90_p10_ok",1,0,1,1
"AT_2011","baseline_3pct_p90_p10_keptmin",1,0,1,1
"AT_2011","baseline_3pct_p90_p10_naltmax",0,0,0,0
"AT_2011","baseline_3pct_inter1_nw",0.264279296170392,0.212345326126679,-0.1519175430379,0.680476135378683
"AT_2011","baseline_3pct_inter1_nwx",0.00340862589306794,0.00116249261611271,0.00113014036548703,0.00568711142064885
"AT_2011","baseline_3pct_inter1_ratio",76.7690205806186,52.6839121427554,-26.4914472191819,180.029488380419
"AT_2011","baseline_3pct_inter1_ok",1,0,1,1
"AT_2011","baseline_3pct_inter1_keptmin",1,0,1,1
"AT_2011","baseline_3pct_inter1_naltmax",0,0,0,0
"AT_2011","baseline_3pct_inter2_nw",0.749643620047575,0.694984575108483,-0.612526147165051,2.1118133872602
"AT_2011","baseline_3pct_inter2_nwx",0.00344343130423881,0.00148129268284727,0.000540097645858159,0.00634676496261947
"AT_2011","baseline_3pct_inter2_ratio",211.304236756801,170.043622087813,-121.981262535313,544.589736048915
"AT_2011","baseline_3pct_inter2_ok",1,0,1,1
"AT_2011","baseline_3pct_inter2_keptmin",1,0,1,1
"AT_2011","baseline_3pct_inter2_naltmax",0,0,0,0
"AT_2011","baseline_3pct_ge2_nw",4.15361128787706,1.87858031446826,0.471593871519264,7.83562870423486
"AT_2011","baseline_3pct_ge2_nwx",5.80759812932878,2.13539726800188,1.62221948404509,9.99297677461246
"AT_2011","baseline_3pct_ge2_ratio",0.703488068464726,0.0502446673946195,0.605008520371272,0.80196761655818
"AT_2011","baseline_3pct_ge2_ok",1,0,1,1
"AT_2011","baseline_3pct_ge2_keptmin",0.776693958649479,0.0103560370712082,0.756396125989911,0.796991791309047
"AT_2011","baseline_3pct_ge2_naltmax",0.223306041350521,0.0103560370712081,0.203008208690953,0.243603874010089
"AT_2011","baseline_3pct_ge_theil_nw",1.22740849625675,0.240393666323531,0.75623691026263,1.69858008225087
"AT_2011","baseline_3pct_ge_theil_nwx",1.44426070047455,0.290055498104588,0.875751924189558,2.01276947675954
"AT_2011","baseline_3pct_ge_theil_ratio",0.850395025389058,0.00786078882412591,0.834987879293771,0.865802171484345
"AT_2011","baseline_3pct_ge_theil_ok",1,0,1,1
"AT_2011","baseline_3pct_ge_theil_keptmin",0.776693958649479,0.0103560370712082,0.756396125989911,0.796991791309047
"AT_2011","baseline_3pct_ge_theil_naltmax",0.223306041350521,0.0103560370712081,0.203008208690953,0.243603874010089
"AT_2011","baseline_3pct_ge_mld_nw",1.58252469748735,0.149269659061247,1.28995616572731,1.87509322924739
"AT_2011","baseline_3pct_ge_mld_nwx",1.74057007775979,0.208135533113348,1.33262443285763,2.14851572266196
"AT_2011","baseline_3pct_ge_mld_ratio",0.910876023425801,0.0212404090945203,0.869244821600541,0.95250722525106
"AT_2011","baseline_3pct_ge_mld_ok",1,0,1,1
"AT_2011","baseline_3pct_ge_mld_keptmin",0.776693958649479,0.0103560370712082,0.756396125989911,0.796991791309047
"AT_2011","baseline_3pct_ge_mld_naltmax",0.223306041350521,0.0103560370712081,0.203008208690953,0.243603874010089
"AT_2011","baseline_3pct_atkinson05_nw",0.483943131012402,0.0496852542096353,0.386560032761517,0.581326229263287
"AT_2011","baseline_3pct_atkinson05_nwx",0.533182452768508,0.0597607213557004,0.416051438911335,0.65031346662568
"AT_2011","baseline_3pct_atkinson05_ratio",0.908254150909007,0.00922771244149043,0.890167834523686,0.926340467294328
"AT_2011","baseline_3pct_atkinson05_ok",1,0,1,1
"AT_2011","baseline_3pct_atkinson05_keptmin",0.776693958649479,0.0103560370712082,0.756396125989911,0.796991791309047
"AT_2011","baseline_3pct_atkinson05_naltmax",0.223306041350521,0.0103560370712081,0.203008208690953,0.243603874010089
"AT_2011","baseline_3pct_atkinson1_nw",0.793085134386691,0.0287215382633643,0.736790919390497,0.849379349382885
"AT_2011","baseline_3pct_atkinson1_nwx",0.822192771963174,0.0335030491833743,0.75652679556376,0.887858748362587
"AT_2011","baseline_3pct_atkinson1_ratio",0.964713930524281,0.00449585389626085,0.95590205688761,0.973525804160952
"AT_2011","baseline_3pct_atkinson1_ok",1,0,1,1
"AT_2011","baseline_3pct_atkinson1_keptmin",0.776693958649479,0.0103560370712082,0.756396125989911,0.796991791309047
"AT_2011","baseline_3pct_atkinson1_naltmax",0.223306041350521,0.0103560370712081,0.203008208690953,0.243603874010089
"AT_2011","baseline_3pct_atkinson2_nw",0.994362301350404,0.00171735724243422,0.990996281155233,0.997728321545576
"AT_2011","baseline_3pct_atkinson2_nwx",0.994552008319434,0.00178953262577461,0.991044524372915,0.998059492265952
"AT_2011","baseline_3pct_atkinson2_ratio",0.999809372670919,0.00031829196759201,0.999185520414439,1.0004332249274
"AT_2011","baseline_3pct_atkinson2_ok",1,0,1,1
"AT_2011","baseline_3pct_atkinson2_keptmin",0.776693958649479,0.0103560370712082,0.756396125989911,0.796991791309047
"AT_2011","baseline_3pct_atkinson2_naltmax",0.223306041350521,0.0103560370712081,0.203008208690953,0.243603874010089
"AT_2011","baseline_3pct_ge2_bach1_nw",4.449115813732,2.02345652849359,0.483141017884555,8.41509060957944
"AT_2011","baseline_3pct_ge2_bach1_nwx",7.64151824653409,2.87014944639822,2.01602533159358,13.2670111614746
"AT_2011","baseline_3pct_ge2_bach1_ratio",0.573079951041527,0.0379298705071674,0.498737404847479,0.647422497235575
"AT_2011","baseline_3pct_ge2_bach1_ok",1,0,1,1
"AT_2011","baseline_3pct_ge2_bach1_keptmin",1,0,1,1
"AT_2011","baseline_3pct_ge2_bach1_naltmax",0.223306041350521,0.0103560370712081,0.203008208690953,0.243603874010089
"AT_2011","baseline_3pct_ge_theil_bach1_nw",1.28799186396504,0.244651487324314,0.808474948809384,1.7675087791207
"AT_2011","baseline_3pct_ge_theil_bach1_nwx",1.69701097711039,0.302097045624132,1.10490076768709,2.28912118653369
"AT_2011","baseline_3pct_ge_theil_bach1_ratio",0.758063467125288,0.00919477950337922,0.740041699298665,0.776085234951911
"AT_2011","baseline_3pct_ge_theil_bach1_ok",1,0,1,1
"AT_2011","baseline_3pct_ge_theil_bach1_keptmin",1,0,1,1
"AT_2011","baseline_3pct_ge_theil_bach1_naltmax",0.223306041350521,0.0103560370712081,0.203008208690953,0.243603874010089
"AT_2011","baseline_3pct_ge_mld_bach1_nw",2.16624988986682,0.198238707662232,1.77770202284885,2.5547977568848
"AT_2011","baseline_3pct_ge_mld_bach1_nwx",3.86124327159231,0.300301483061159,3.27265236479244,4.44983417839218
"AT_2011","baseline_3pct_ge_mld_bach1_ratio",0.560657326455863,0.00939383137032673,0.542245416970023,0.579069235941704
"AT_2011","baseline_3pct_ge_mld_bach1_ok",1,0,1,1
"AT_2011","baseline_3pct_ge_mld_bach1_keptmin",1,0,1,1
"AT_2011","baseline_3pct_ge_mld_bach1_naltmax",0.223306041350521,0.0103560370712081,0.203008208690953,0.243603874010089
