"country","regime","allocation","measure","value_nw","value_nwx","ratio","p1","kept_nw","kept_nwx"
"AT_2011","baseline_3pct","actual","atkinson05",0.483943131012402,0.533182452768508,0.908254150909007,0.374860962545551,0.941227239456885,0.776693958649479
"AT_2011","baseline_3pct","actual","atkinson1",0.793085134386691,0.822192771963174,0.964713930524281,0.374860962545551,0.941227239456885,0.776693958649479
"AT_2011","baseline_3pct","actual","atkinson2",0.994362301350404,0.994552008319434,0.999809372670919,0.374860962545551,0.941227239456885,0.776693958649479
"AT_2011","baseline_3pct","actual","cv",2.96268403500397,9.24626599539715,0.325828023103347,0.374860962545551,0.941227239456885,0.776693958649479
"AT_2011","baseline_3pct","actual","ge2",4.15361128787706,5.80759812932878,0.703488068464726,0.374860962545551,0.941227239456885,0.776693958649479
"AT_2011","baseline_3pct","actual","ge_mld",1.58252469748735,1.74057007775979,0.910876023425801,0.374860962545551,0.941227239456885,0.776693958649479
"AT_2011","baseline_3pct","actual","ge_theil",1.22740849625675,1.44426070047455,0.850395025389058,0.374860962545551,0.941227239456885,0.776693958649479
"AT_2011","baseline_3pct","actual","gini",0.762501926258024,2.38779106189922,0.325623742090802,0.374860962545551,0.941227239456885,0.776693958649479
"AT_2011","baseline_3pct","actual","top1",0.233770179584283,0.572309621279702,0.407066338082271,0.374860962545551,0.941227239456885,0.776693958649479
"AT_2011","baseline_3pct","actual","top10",0.613621987691234,1.30668618811,0.473326234594997,0.374860962545551,0.941227239456885,0.776693958649479
"AT_2011","baseline_3pct","equal_hh","atkinson05",0.21470648486454,0.533182452768508,0.399574139033202,0.374860962545551,0.91740101729806,0.776693958649479
"AT_2011","baseline_3pct","equal_hh","atkinson1",0.329270085479229,0.822192771963174,0.399199635742486,0.374860962545551,0.91740101729806,0.776693958649479
"AT_2011","baseline_3pct","equal_hh","atkinson2",0.553257909970497,0.994552008319434,0.556222153236666,0.374860962545551,0.91740101729806,0.776693958649479
"AT_2011","baseline_3pct","equal_hh","cv",3.43280624696644,9.24626599539715,0.374860962545551,0.374860962545551,0.91740101729806,0.776693958649479
"AT_2011","baseline_3pct","equal_hh","ge2",2.25149268095077,5.80759812932878,0.378230956741596,0.374860962545551,0.91740101729806,0.776693958649479
"AT_2011","baseline_3pct","equal_hh","ge_mld",0.40168231399752,1.74057007775979,0.229352496779637,0.374860962545551,0.91740101729806,0.776693958649479
"AT_2011","baseline_3pct","equal_hh","ge_theil",0.616096659701804,1.44426070047455,0.421412694362117,0.374860962545551,0.91740101729806,0.776693958649479
"AT_2011","baseline_3pct","equal_hh","gini",0.881222960196879,2.38779106189922,0.374860962545551,0.374860962545551,0.91740101729806,0.776693958649479
"AT_2011","baseline_3pct","equal_hh","top1",0.22216181969039,0.572309621279702,0.386140089518261,0.374860962545551,0.91740101729806,0.776693958649479
"AT_2011","baseline_3pct","equal_hh","top10",0.548954881441681,1.30668618811,0.423038188361608,0.374860962545551,0.91740101729806,0.776693958649479
"AT_2011","baseline_3pct","equal_pc","atkinson05",0.260386255973948,0.533182452768508,0.48642677729906,0.374860962545551,0.914718993994257,0.776693958649479
"AT_2011","baseline_3pct","equal_pc","atkinson1",0.415375348221279,0.822192771963174,0.504364246230288,0.374860962545551,0.914718993994257,0.776693958649479
"AT_2011","baseline_3pct","equal_pc","atkinson2",0.692546672621353,0.994552008319434,0.696439597369032,0.374860962545551,0.914718993994257,0.776693958649479
"AT_2011","baseline_3pct","equal_pc","cv",3.49613628484239,9.24626599539715,0.381910938967408,0.374860962545551,0.914718993994257,0.776693958649479
"AT_2011","baseline_3pct","equal_pc","ge2",2.35615337370562,5.80759812932878,0.398074910329891,0.374860962545551,0.914718993994257,0.776693958649479
"AT_2011","baseline_3pct","equal_pc","ge_mld",0.538833856633005,1.74057007775979,0.309097174232911,0.374860962545551,0.914718993994257,0.776693958649479
"AT_2011","baseline_3pct","equal_pc","ge_theil",0.70436476115957,1.44426070047455,0.484581009855907,0.374860962545551,0.914718993994257,0.776693958649479
"AT_2011","baseline_3pct","equal_pc","gini",0.972123399604628,2.38779106189922,0.413428300444819,0.374860962545551,0.914718993994257,0.776693958649479
"AT_2011","baseline_3pct","equal_pc","top1",0.226189567495452,0.572309621279702,0.393416599504804,0.374860962545551,0.914718993994257,0.776693958649479
"AT_2011","baseline_3pct","equal_pc","top10",0.576291473746854,1.30668618811,0.444168399629258,0.374860962545551,0.914718993994257,0.776693958649479
"AT_2011","baseline_3pct","mean_nwx","atkinson05",0.3016489839407,0.533182452768508,0.572659724199497,0.374860962545551,1,0.776693958649479
"AT_2011","baseline_3pct","mean_nwx","atkinson1",0.434283613675651,0.822192771963174,0.529733003957279,0.374860962545551,1,0.776693958649479
"AT_2011","baseline_3pct","mean_nwx","atkinson2",0.531230046496636,0.994552008319434,0.534203870050115,0.374860962545551,1,0.776693958649479
"AT_2011","baseline_3pct","mean_nwx","cv",2.43048462446517,9.24626599539715,0.263903621445879,0.374860962545551,1,0.776693958649479
"AT_2011","baseline_3pct","mean_nwx","ge2",3.00087913628294,5.80759812932878,0.562404416864106,0.374860962545551,1,0.776693958649479
"AT_2011","baseline_3pct","mean_nwx","ge_mld",0.573521060628923,1.74057007775979,0.334578139795941,0.374860962545551,1,0.776693958649479
"AT_2011","baseline_3pct","mean_nwx","ge_theil",0.876500712117141,1.44426070047455,0.62505169211814,0.374860962545551,1,0.776693958649479
"AT_2011","baseline_3pct","mean_nwx","gini",0.558764439118067,2.38779106189922,0.236264420912659,0.374860962545551,1,0.776693958649479
"AT_2011","baseline_3pct","mean_nwx","top1",0.202200093736243,0.572309621279702,0.360759771724798,0.374860962545551,1,0.776693958649479
"AT_2011","baseline_3pct","mean_nwx","top10",0.542851688999144,1.30668618811,0.418014332489413,0.374860962545551,1,0.776693958649479
"AT_2011","capped_3pct","actual","atkinson05",0.483943131012402,0.533182452768508,0.908254150909007,0.690307526566031,0.941227239456885,0.776693958649479
"AT_2011","capped_3pct","actual","atkinson1",0.793085134386691,0.822192771963174,0.964713930524281,0.690307526566031,0.941227239456885,0.776693958649479
"AT_2011","capped_3pct","actual","atkinson2",0.994362301350404,0.994552008319434,0.999809372670919,0.690307526566031,0.941227239456885,0.776693958649479
"AT_2011","capped_3pct","actual","cv",2.96268403500397,3.91211822693487,0.75443307741611,0.690307526566031,0.941227239456885,0.776693958649479
"AT_2011","capped_3pct","actual","ge2",4.15361128787706,5.80759812932878,0.703488068464726,0.690307526566031,0.941227239456885,0.776693958649479
"AT_2011","capped_3pct","actual","ge_mld",1.58252469748735,1.74057007775979,0.910876023425801,0.690307526566031,0.941227239456885,0.776693958649479
"AT_2011","capped_3pct","actual","ge_theil",1.22740849625675,1.44426070047455,0.850395025389058,0.690307526566031,0.941227239456885,0.776693958649479
"AT_2011","capped_3pct","actual","gini",0.762501926258024,0.84107236048638,0.906474066676621,0.690307526566031,0.941227239456885,0.776693958649479
"AT_2011","capped_3pct","actual","top1",0.233770179584283,0.310148319752178,0.750606105695323,0.690307526566031,0.941227239456885,0.776693958649479
"AT_2011","capped_3pct","actual","top10",0.613621987691234,0.702608057258248,0.873201813876039,0.690307526566031,0.941227239456885,0.776693958649479
"AT_2011","capped_3pct","equal_hh","atkinson05",0.3002460947203,0.533182452768508,0.55917961341462,0.690307526566031,0.995131124917871,0.776693958649479
"AT_2011","capped_3pct","equal_hh","atkinson1",0.435035412906369,0.822192771963174,0.527529314777824,0.690307526566031,0.995131124917871,0.776693958649479
"AT_2011","capped_3pct","equal_hh","atkinson2",0.558130746393405,0.994552008319434,0.561170093912088,0.690307526566031,0.995131124917871,0.776693958649479
"AT_2011","capped_3pct","equal_hh","cv",2.71586638545849,3.91211822693487,0.690307526566031,0.690307526566031,0.995131124917871,0.776693958649479
