"quantile","country","stat_name","estimate","se","ci_lo","ci_hi"
"iso10","AT_2011","iso_nw",1.54558028041101,0.0140492281193161,1.51804379329715,1.57311676752486
"iso10","AT_2011","iso_nwx",1.41219838014419,0.0124494242670324,1.3877975085808,1.43659925170757
"iso10","AT_2011","iso_diff",0.133381900266819,0.00452002215874843,0.124522656835672,0.142241143697966
"iso10","EE_2013","iso_nw",1.32781273647486,0.0156196340834588,1.29719825367128,1.35842721927844
"iso10","EE_2013","iso_nwx",1.36815280945405,0.014542584158015,1.33964934450434,1.39665627440376
"iso10","EE_2013","iso_diff",-0.0403400729791894,0.00736508019085726,-0.0547756301532696,-0.0259045158051092
"iso10","FR_2009","iso_nw",1.74730128864157,NA,NA,NA
"iso10","FR_2009","iso_nwx",1.74109071664908,NA,NA,NA
"iso10","FR_2009","iso_diff",0.00621057199248365,NA,NA,NA
"iso10","GR_2009","iso_nw",1.25428305536345,0.0160082089409146,1.22290696583926,1.28565914488765
"iso10","GR_2009","iso_nwx",1.31065618227463,0.00454753129434359,1.30174302093771,1.31956934361154
"iso10","GR_2009","iso_diff",-0.0563731269111721,0.0126557488462027,-0.0811783946497293,-0.0315678591726149
"iso10","IT_2014","iso_nw",1.41120557932367,NA,NA,NA
"iso10","IT_2014","iso_nwx",1.38605849981587,NA,NA,NA
"iso10","IT_2014","iso_diff",0.0251470795078073,NA,NA,NA
"iso10","LU_2010","iso_nw",1.65120396605332,0.0172772232634511,1.61734060845696,1.68506732364968
"iso10","LU_2010","iso_nwx",1.6020994508022,0.021794949146134,1.55938135047578,1.64481755112862
"iso10","LU_2010","iso_diff",0.0491045152511173,0.0160675137420152,0.0176121883167675,0.0805968421854671
"iso10","SK_2010","iso_nw",0.589182870838967,0.0373102825367129,0.51605471706701,0.662311024610925
"iso10","SK_2010","iso_nwx",0.70869163438476,0.0189104319393574,0.671627187783619,0.7457560809859
"iso10","SK_2010","iso_diff",-0.119508763545792,0.0448958794552571,-0.207504687278096,-0.0315128398134886
"iso10","SI_2014","iso_nw",1.39002494899774,0.0046681355606722,1.38087540329882,1.39917449469666
"iso10","SI_2014","iso_nwx",1.4674941577067,0.0290118251079665,1.41063098049508,1.52435733491831
"iso10","SI_2014","iso_diff",-0.0774692087089602,0.0301459741943498,-0.136555318129886,-0.0183830992880346
"iso10","ES_2011","iso_nw",1.150520749518,0.0174067789586737,1.116403462759,1.184638036277
"iso10","ES_2011","iso_nwx",1.18846875295138,0.021688929002765,1.14595845210596,1.2309790537968
"iso10","ES_2011","iso_diff",-0.0379480034333724,0.0102703199204378,-0.0580778304774305,-0.0178181763893144
"iso10","US_2013","iso_nw",1.3548598656631,0.00492121243114984,1.34521428929805,1.36450544202816
"iso10","US_2013","iso_nwx",1.34023222178964,0.00381979398829341,1.33274542557258,1.34771901800669
"iso10","US_2013","iso_diff",0.014627643873465,0.00807193727309349,-0.00119335318179823,0.0304486409287283
"iso50*","AT_2011","iso_nw",1.43563023675348,0.0884951904853331,1.26217966340223,1.60908081010474
"iso50*","AT_2011","iso_nwx",1.69376853529949,0.209392165210259,1.28335989148739,2.1041771791116
"iso50*","AT_2011","iso_diff",-0.258138298546011,0.29067667662353,-0.82786458472813,0.311587987636108
"iso50*","EE_2013","iso_nw",0.821447463892893,0.102743522149253,0.620070160480357,1.02282476730543
"iso50*","EE_2013","iso_nwx",0.916435387447373,0.137316438870517,0.64729516726116,1.18557560763359
"iso50*","EE_2013","iso_diff",-0.0949879235544799,0.101237764442686,-0.293413941862144,0.103438094753184
"iso50*","FR_2009","iso_nw",1.17858598035527,NA,NA,NA
"iso50*","FR_2009","iso_nwx",1.20064423094586,NA,NA,NA
"iso50*","FR_2009","iso_diff",-0.0220582505905855,NA,NA,NA
"iso50*","GR_2009","iso_nw",0.507822841932829,0.0503191252962414,0.409197356352196,0.606448327513463
"iso50*","GR_2009","iso_nwx",0.819980965219862,0.0208901929494971,0.779036187038847,0.860925743400876
"iso50*","GR_2009","iso_diff",-0.312158123287032,0.0546879363784348,-0.419346478588764,-0.2049697679853
"iso50*","IT_2014","iso_nw",0.728866476878864,NA,NA,NA
"iso50*","IT_2014","iso_nwx",0.858058346194492,NA,NA,NA
"iso50*","IT_2014","iso_diff",-0.129191869315629,NA,NA,NA
"iso50*","LU_2010","iso_nw",0.477702886876881,0.0764103598262107,0.327938581617508,0.627467192136254
"iso50*","LU_2010","iso_nwx",0.940615553660152,0.049448698753466,0.843696104103359,1.03753500321695
"iso50*","LU_2010","iso_diff",-0.462912666783272,0.0776790519402875,-0.615163608586235,-0.310661724980308
"iso50*","SK_2010","iso_nw",0.501059379802605,0.0749762044576068,0.354106019065696,0.648012740539514
"iso50*","SK_2010","iso_nwx",0.519812738359452,0.0694944130883962,0.383603688706196,0.656021788012709
"iso50*","SK_2010","iso_diff",-0.0187533585568471,0.138730765697997,-0.290665659324921,0.253158942211226
"iso50*","SI_2014","iso_nw",0.598846200223489,0.0308932580154244,0.538295414513257,0.659396985933721
"iso50*","SI_2014","iso_nwx",0.680517839418927,0.0364456705253714,0.609084325189199,0.751951353648655
"iso50*","SI_2014","iso_diff",-0.0816716391954378,0.0243903061119507,-0.129476639174861,-0.0338666392160144
