"iso","n","cv_nw","cv_nw_b","d_cv_nw_pct","p1","p1_b","p2","p2_b","cor_nwx_wt","cor_b","d_cor"
"AT",2355.2,2.92890361320901,2.926,0.1,0.323581599434117,0.324,0.676418400565883,0.676,-0.633925054145939,-0.645,0.011
"BE",2315,1.62599035740386,1.625,0.1,0.717115993615037,0.712,0.282884006384963,0.288,-0.938047764918171,-0.942,0.004
"CY",1237,2.47794771150161,2.478,0,0.762841967888508,0.732,0.237158032111492,0.268,-0.479377658772741,-0.522,0.043
"DE",3546.8,3.37580161805139,2.826,19.5,0.427518188650044,0.418,0.572481811349956,0.582,-0.262401353709487,-0.4,0.138
"E1",6191,4.0612000974267,4.062,0,0.602295806616003,0.565,0.397704193383997,0.435,-0.756676228081207,-0.805,0.048
"ES",6106,2.74806942668648,4.062,-32.3,0.434143449301975,0.565,0.565856550698025,0.435,-0.91508764094878,-0.805,-0.11
"FR",14929,3.58319764675007,3.582,0,0.282685978225247,0.111,0.717314021774753,0.889,-0.942178444841425,-0.952,0.01
"GR",2938,1.27034630444878,1.271,-0.1,-1.9564613829778,-3.1,2.9564613829778,4.1,-0.995239507523126,-0.999,0.004
"PT",4393,3.49754412476272,3.767,-7.2,0.226640999878828,-0.411,0.773359000121172,1.411,-0.882533144001922,-0.995,0.112
